"soc6","soc_code","title","auto_w","pv_w","da_w","tk_w","ag_w","n_tasks","n_core","occupation_category","eloundou_alpha","eloundou_beta","eloundou_gamma","webb_software","webb_robot","webb_ai","sml","felten","frey_osborne","routine_cognitive","routine_manual"
"499061","49-9061.00","Camera and Photographic Equipment Repairers",0.3475,0.694497474683058,0.776923881554251,0.630355339059327,0.34,15,10,"Construction, Extraction & Maintenance",0.04,0.24,0.44,39,67,46,3.04946673584688,3.3091953,0.97,-0.059757013,-0.36211807
"472132","47-2132.00","Insulation Workers, Mechanical",0.347222222222222,0.811308521699626,0.495234086798505,0.628370009543323,0.455950376732586,9,9,"Construction, Extraction & Maintenance",0,0.0454545454545455,0.0909090909090909,66,77,44,2.93615942028986,3.0631478,0.64,-0.81728876,0.22845443
"493091","49-3091.00","Bicycle Repairers",0.347222222222222,0.79503667620999,0.832073713247027,0.642724199651603,0.259259259259259,14,13,"Construction, Extraction & Maintenance",0,0.103448275862069,0.206896551724138,26,81,25,3.04160786668668,3.2054796,0.94,-0.8414659,0.32312635
"517042","51-7042.00","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.347222222222222,0.728172598954808,0.529323192183622,0.865713484026368,0.449639049125247,25,20,"Production, Transportation & Material Moving",0.0217391304347826,0.0652173913043478,0.108695652173913,99,92,91,3.17678675527574,3.3290501,0.97,0.88312876,1.7477129
"536032","53-6032.00","Aircraft Service Attendants",0.347222222222222,0.359221680981652,0.681542608498132,1.03690075346517,0.319937970915732,18,0,"Production, Transportation & Material Moving",0.111111111111111,0.138888888888889,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"512031","51-2031.00","Engine and Other Machine Assemblers",0.345238095238095,0.605100322913645,0.862073970980632,0.795576513389835,0.40969301859968,12,9,"Production, Transportation & Material Moving",0,0.0952380952380952,0.19047619047619,72,72,55,3.02315599343186,3.3665426,0.82,0.49630344,1.3735335
"492091","49-2091.00","Avionics Technicians",0.345,0.744142135623731,0.948284271247462,0.488284271247462,0.48,13,12,"Construction, Extraction & Maintenance",0.12,0.24,0.36,30,61,35,2.98944870157514,3.9802094,0.7,0.15783237,0.22394614
"499043","49-9043.00","Maintenance Workers, Machinery",0.344642857142857,0.650507627227611,0.733263244639231,0.86183467321066,0.330050762722761,18,17,"Construction, Extraction & Maintenance",0.114285714285714,0.142857142857143,0.171428571428571,72,81,76,2.97376404203551,3.3795483,0.86,0.21424408,1.2473044
"516052","51-6052.00","Tailors, Dressmakers, and Custom Sewers",0.34375,0.952595762781207,0.664201675776203,0.627757280535446,0.31623212641757,22,22,"Production, Transportation & Material Moving",0.0454545454545455,0.0909090909090909,0.136363636363636,39,61,57,3.2677981683816,2.8263988,0.84,0.21424408,1.3284515
"516042","51-6042.00","Shoe Machine Operators and Tenders",0.342741935483871,0.418257750247411,0.465261194801815,1.20996398311236,0.427705918596232,19,12,"Production, Transportation & Material Moving",0.0869565217391304,0.0869565217391304,0.0869565217391304,39,69,2,3.14099150065328,2.7313137,0.97,1.6084251,2.0317287
