soc_code,title,n_software
43-3071.00,Tellers,19
43-4011.00,Brokerage Clerks,31
43-4021.00,Correspondence Clerks,17
43-4031.00,"Court, Municipal, and License Clerks",19
43-4041.00,"Credit Authorizers, Checkers, and Clerks",18
43-4051.00,Customer Service Representatives,113
43-4061.00,"Eligibility Interviewers, Government Programs",18
43-4071.00,File Clerks,15
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",16
43-4111.00,"Interviewers, Except Eligibility and Loan",24
43-4121.00,"Library Assistants, Clerical",21
43-4131.00,Loan Interviewers and Clerks,21
43-4141.00,New Accounts Clerks,19
43-4151.00,Order Clerks,23
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",41
43-4171.00,Receptionists and Information Clerks,41
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,20
43-5011.00,Cargo and Freight Agents,19
43-5011.01,Freight Forwarders,25
43-5021.00,Couriers and Messengers,5
43-5031.00,Public Safety Telecommunicators,18
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",35
43-5041.00,"Meter Readers, Utilities",14
43-5051.00,Postal Service Clerks,8
43-5052.00,Postal Service Mail Carriers,11
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",17
43-5061.00,"Production, Planning, and Expediting Clerks",94
43-5071.00,"Shipping, Receiving, and Inventory Clerks",52
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",22
